月份,10年期国债收益率,CPI同比,核心CPI同比,PPI同比,12M核心CPI均值,未来1年CPI一致预期,政策修正项,估算通胀预期,估算实际收益率
2025-04,1.85,-0.1,0.4,-2.5,0.4,0.71,-0.2,0.46,1.39
2026-05,,,,13.5,0.35,0.71,0.0,0.53,1.39
